LotFrontage,LotArea,Alley,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,RemodAge,HouseAge,Oldness,GarageAge,OverallValue,GarageGrade,ExterValue,KitchenValue,FireplaceValue,GarageValue,BsmtValue,BathValue,TotalPorchSF,TotalSF,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSSubClass_120,MSSubClass_150,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSZoning_0,MSZoning_1,MSZoning_2,MSZoning_3,LotShape_0,LotShape_1,LotShape_2,Neighborhood_0,Neighborhood_1,Neighborhood_2,Neighborhood_3,Neighborhood_4,Condition1_0,Condition1_1,Condition1_2,Condition1_3,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_0,RoofStyle_1,RoofStyle_2,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_NA,MoSold_1,MoSold_2,MoSold_3,MoSold_4,MoSold_5,MoSold_6,MoSold_7,MoSold_8,MoSold_9,MoSold_10,MoSold_11,MoSold_12,YrSold_2006,YrSold_2007,YrSold_2008,YrSold_2009,YrSold_2010,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,SalePrice
-1.0,-1.076951581027668,0.0,0.0,1.5,0.0,0.5652173913043478,0.16216216216216217,0.365296803652968,1.0,0.0,1.0,0.0,2.0,0.4,1.1997191997191998,0.0,0.0,-0.029914529914529916,1.4059701492537313,0.0,0.0,0.0,1.221404025527737,0.0,0.0,0.37852452684434146,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,-0.5,0.0,0.0,0.25,0.5116279069767442,1.0,0.0,0.10766045548654245,0.0,0.0,0.0,0.5773809523809523,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,-0.16216216216216217,-0.5652173913043478,-0.5185185185185185,,1.0,0.0,1.0,0.0,0.25,0.7832015271338969,2.26116377357625,0.4,0.125,-0.7123764468867766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,328900
-1.1,0.8259634387351779,0.0,0.0,0.5,0.0,0.6521739130434783,0.24324324324324326,0.0,1.0,0.0,1.0,0.0,0.0,0.4,1.3583713583713584,0.0,0.0,-0.6743589743589744,0.8805970149253731,0.0,0.0,0.0,0.8463426607756505,0.8667582417582418,0.0,1.0583236770954036,1.0,0.0,-1.0,1.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.75,0.6046511627906976,0.0,0.0,0.7867494824016563,0.0,0.0,0.0,1.0,0.2647058823529412,0.0,0.0,198.0,0.0,0.0,0.0,-0.21621621621621623,-0.6304347826086957,-0.5833333333333334,,0.0,0.0,1.0,0.0,0.75,0.5890373602399782,2.1268830893273925,0.2,1.4191176470588236,0.9584663674710177,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,239686
4.5,1.5179100790513833,0.0,0.0,2.0,0.0,0.5,0.05405405405405406,0.0,1.0,0.0,1.0,0.0,2.0,0.4,2.4043524043524043,0.0,0.0,-0.3034188034188034,2.7950248756218907,0.0,0.0,0.0,2.599901816396662,2.8365384615384617,0.0,4.653534183082271,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.25,0.4418604651162791,1.0,1.0,1.3788819875776397,0.0,0.0,0.0,1.0178571428571428,0.7794117647058824,0.0,0.0,0.0,555.0,3.0,0.0,-0.08108108108108109,-0.5217391304347826,-0.4444444444444444,,1.5,0.0,1.0,1.0,1.0,1.7878374693209709,4.15517745625957,1.8,0.22058823529411764,2.42872817865398,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,745000
-1.0,-0.11820652173913043,1.0,0.0,-0.5,1.0,-2.0217391304347827,-0.08108108108108109,0.0,0.0,0.0,-2.0,-1.0,0.0,-0.6,-0.5384345384345385,0.0,0.0,0.2709401709401709,-0.7074626865671642,0.0,-1.0,1.0,0.0039273441335297005,0.907967032967033,0.0,0.4418694476631904,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,1.0,0.0,-1.0,-0.5,-0.9302325581395349,-1.0,-1.0,-0.9937888198757764,-1.0,-2.0,-2.0,0.0,-0.36764705882352944,293.0,0.0,0.0,0.0,3.0,0.0,0.02702702702702703,1.9782608695652173,0.6944444444444444,,-0.5,-3.0,0.0,1.0,-0.5,-0.6981183528770112,-1.0122662446023363,-0.8,1.8014705882352942,-0.008553158192954083,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,124000
-0.5,-1.007534584980237,0.0,0.0,-0.5,1.0,-1.1521739130434783,-1.1891891891891893,0.0,0.0,0.0,-2.0,0.0,0.0,-0.6,-0.5384345384345385,0.0,0.0,0.36495726495726494,-0.5980099502487563,0.0,0.0,1.0,-0.7776141384388807,0.0,0.0,-1.1942835071456162,0.0,0.0,-1.0,0.0,-1.0,0.0,2.0,-1.0,0.0,-1.0,-0.5,-1.3255813953488371,-1.0,-1.0,-1.093167701863354,-1.0,0.0,-2.0,0.0,-0.07352941176470588,94.0,0.0,0.0,0.0,0.0,0.0,1.162162162162162,1.1304347826086956,1.1111111111111112,,-0.5,-1.0,0.0,1.0,-0.5,-0.7155713116989365,-0.8995016658924998,-0.8,0.4852941176470588,-1.1015406477375955,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,86000
-0.5,-0.12635869565217392,0.0,0.0,-0.5,-3.0,-1.1521739130434783,-1.1891891891891893,0.0,0.0,-1.0,-2.0,-2.0,0.0,-0.6,-0.5384345384345385,0.0,0.0,0.8264957264957264,-0.06069651741293532,0.0,-0.5,1.0,-0.019636720667648502,0.0,0.0,-0.5979142526071842,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-5.0,-1.0,-0.5,-1.3255813953488371,-1.0,-1.0,-0.587991718426501,-2.0,-2.0,-2.0,0.0,-0.36764705882352944,0.0,0.0,0.0,0.0,0.0,0.0,1.162162162162162,1.1304347826086956,1.1111111111111112,,-2.5,-4.0,-1.0,-1.0,-0.5,-0.7497500227252067,-1.040159191655054,-0.8,-0.35294117647058826,-0.23732090981859402,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,67000
-0.5,0.030014822134387352,1.0,0.0,-0.5,2.0,-1.3695652173913044,0.21621621621621623,0.0,0.0,1.0,-2.0,-1.0,0.0,-0.6,-0.5384345384345385,0.0,0.0,-0.36495726495726494,-1.4477611940298507,0.0,0.0,0.0,-0.6264113892979872,0.9120879120879121,0.0,-0.04943993820007725,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.5,0.0,-1.0,-0.5,-1.558139534883721,-1.0,0.0,-0.4968944099378882,0.0,1.0,0.0,1.6071428571428572,-0.36764705882352944,112.0,0.0,0.0,0.0,4.0,0.0,-0.24324324324324326,1.3478260869565217,0.24074074074074073,,0.0,1.0,1.0,-1.0,-0.5,-0.4799563676029452,-1.1317288007294373,0.0,0.47058823529411764,-0.027242393445277013,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132000
1.85,0.28075592885375494,0.0,1.0,-1.5,0.0,-1.5869565217391304,-0.6486486486486487,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.07932607932607932,0.0,0.0,0.10341880341880341,-0.026865671641791045,0.0,-1.0,0.0,-0.14334806087383406,0.9409340659340659,0.0,0.3630745461568173,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,-1.0,-0.5,-1.3255813953488371,-1.0,0.0,-0.2484472049689441,-1.0,-1.0,0.0,0.0,0.7205882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.6756756756756757,1.608695652173913,0.9814814814814815,,-2.0,-2.0,0.0,2.0,-0.5,-0.5672211617125715,-0.3843079234549635,0.4,0.19117647058823528,0.31655679171126133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,95000
0.4,0.6451333992094862,0.0,0.0,0.0,2.0,0.2391304347826087,0.24324324324324326,0.4505327245053272,0.0,0.0,0.0,0.0,0.0,-0.6,-0.5384345384345385,0.0,0.0,0.18376068376068377,-0.808955223880597,0.0,0.0,0.0,0.10407461953853707,1.0,0.0,0.6241792197759752,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.16279069767441862,1.0,0.0,-0.012422360248447204,0.0,0.0,0.0,1.5952380952380953,1.2794117647058822,0.0,0.0,147.0,0.0,0.0,0.0,-0.2702702702702703,-0.2608695652173913,-0.46296296296296297,,0.5,0.0,0.0,-1.0,0.25,0.6883010635396782,-0.7065907409637517,1.4,1.5514705882352942,0.6501029796648893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178000
1.15,0.6451333992094862,0.0,0.0,1.0,0.0,0.5434782608695652,0.10810810810810811,3.95738203957382,1.0,0.0,0.0,0.0,0.0,-0.6,-0.5384345384345385,0.0,0.0,1.1341880341880342,0.2975124378109453,0.0,-0.5,0.0,0.15316642120765833,1.5082417582417582,0.0,1.2344534569331789,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.25,0.4883720930232558,1.0,0.0,-0.2484472049689441,0.0,0.0,0.0,0.8571428571428571,1.4411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,-0.16216216216216217,-0.5869565217391305,-0.5277777777777778,,0.5,0.0,1.0,0.0,0.25,0.5017725661303518,-0.2219507859227784,0.6,0.5514705882352942,0.8265084946981212,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,258000
