OverallQual,ExterQual,GarageValue,GrLivArea,GarageAge,KitchenQual,FullBath,BsmtQual,BathValue,HouseAge,YearBuilt,GarageCars,Oldness,GarageFinish,GarageArea,KitchenValue,ExterValue,FireplaceValue,FireplaceQu,Foundation_PConc,OverallValue,GarageYrBlt,TotalBsmtSF,BsmtValue,Fireplaces,TotalSF,1stFlrSF,RemodAge,YearRemodAdd,OpenPorchSF,Neighborhood_2,HeatingQC,GarageType_Attchd,TotRmsAbvGrd,MSSubClass_60,LotArea,2ndFlrSF,GarageType_Detchd,Foundation_CBlock,Exterior2nd_VinylSd,SalePrice
1.5,1.0,0.7832015271338969,0.37852452684434146,,1.0,0.0,1.0,0.4,-0.5652173913043478,0.5652173913043478,0.0,-0.5185185185185185,1.0,0.10766045548654245,0.0,1.0,0.25,0.25,1.0,1.0,0.5116279069767442,1.4059701492537313,2.26116377357625,0.0,-0.7123764468867766,1.221404025527737,-0.16216216216216217,0.16216216216216217,0.5882352941176471,1.0,0.0,0.0,-0.5,0.0,-1.076951581027668,0.0,0.0,0.0,0.0,12.70351207261035
0.5,1.0,0.5890373602399782,1.0583236770954036,,1.0,-1.0,1.0,0.2,-0.6304347826086957,0.6521739130434783,0.0,-0.5833333333333334,0.0,0.7867494824016563,0.0,1.0,0.75,0.75,1.0,0.0,0.6046511627906976,0.8805970149253731,2.1268830893273925,0.0,0.9584663674710177,0.8463426607756505,-0.21621621621621623,0.24324324324324326,0.2647058823529412,0.0,0.0,0.0,0.0,0.0,0.8259634387351779,0.8667582417582418,0.0,0.0,1.0,12.387089184491993
2.0,1.0,1.7878374693209709,4.653534183082271,,2.0,1.0,1.0,1.8,-0.5217391304347826,0.5,1.0,-0.4444444444444444,1.0,1.3788819875776397,1.0,1.0,1.0,0.25,1.0,1.5,0.4418604651162791,2.7950248756218907,4.15517745625957,1.0,2.42872817865398,2.599901816396662,-0.08108108108108109,0.05405405405405406,0.7794117647058824,1.0,0.0,0.0,2.0,1.0,1.5179100790513833,2.8365384615384617,0.0,0.0,0.0,13.521140839642674
-0.5,0.0,-0.6981183528770112,0.4418694476631904,,2.0,-1.0,-2.0,-0.8,1.9782608695652173,-2.0217391304347827,-1.0,0.6944444444444444,-1.0,-0.9937888198757764,1.0,0.0,-0.5,-0.5,0.0,-0.5,-0.9302325581395349,-0.7074626865671642,-1.0122662446023363,-1.0,-0.008553158192954083,0.0039273441335297005,0.02702702702702703,-0.08108108108108109,-0.36764705882352944,0.0,-1.0,-1.0,1.0,0.0,-0.11820652173913043,0.907967032967033,1.0,0.0,1.0,11.728044909070785
-0.5,0.0,-0.7155713116989365,-1.1942835071456162,,2.0,-1.0,-2.0,-0.8,1.1304347826086956,-1.1521739130434783,-1.0,1.1111111111111112,-1.0,-1.093167701863354,1.0,0.0,-0.5,-0.5,0.0,-0.5,-1.3255813953488371,-0.5980099502487563,-0.8995016658924998,-1.0,-1.1015406477375955,-0.7776141384388807,1.162162162162162,-1.1891891891891893,-0.07352941176470588,0.0,0.0,-1.0,-1.0,0.0,-1.007534584980237,0.0,1.0,0.0,0.0,11.362114203075018
-0.5,0.0,-0.7497500227252067,-0.5979142526071842,,0.0,-1.0,-2.0,-0.8,1.1304347826086956,-1.1521739130434783,-1.0,1.1111111111111112,-1.0,-0.587991718426501,-1.0,-1.0,-0.5,-0.5,0.0,-2.5,-1.3255813953488371,-0.06069651741293532,-1.040159191655054,-1.0,-0.23732090981859402,-0.019636720667648502,1.162162162162162,-1.1891891891891893,-0.36764705882352944,0.0,-0.5,-1.0,0.0,0.0,-0.12635869565217392,0.0,1.0,0.0,0.0,11.112462823634855
-0.5,0.0,-0.4799563676029452,-0.04943993820007725,,0.0,0.0,-2.0,0.0,1.3478260869565217,-1.3695652173913044,0.0,0.24074074074074073,-1.0,-0.4968944099378882,-1.0,1.0,-0.5,-0.5,0.0,0.0,-1.558139534883721,-1.4477611940298507,-1.1317288007294373,-1.0,-0.027242393445277013,-0.6264113892979872,-0.24324324324324326,0.21621621621621623,-0.36764705882352944,0.0,0.0,-1.0,0.5,0.0,0.030014822134387352,0.9120879120879121,1.0,0.0,0.0,11.790564777297387
-1.5,0.0,-0.5672211617125715,0.3630745461568173,,0.0,0.0,-2.0,0.4,1.608695652173913,-1.5869565217391304,0.0,0.9814814814814815,-1.0,-0.2484472049689441,2.0,0.0,-0.5,-0.5,0.0,-2.0,-1.3255813953488371,-0.026865671641791045,-0.3843079234549635,-1.0,0.31655679171126133,-0.14334806087383406,0.6756756756756757,-0.6486486486486487,0.7205882352941176,0.0,-1.0,-1.0,0.5,0.0,0.28075592885375494,0.9409340659340659,0.0,1.0,0.0,11.461642696843066
0.0,0.0,0.6883010635396782,0.6241792197759752,,0.0,1.0,0.0,1.4,-0.2608695652173913,0.2391304347826087,0.0,-0.46296296296296297,1.0,-0.012422360248447204,-1.0,0.0,0.25,0.25,0.0,0.5,0.16279069767441862,-0.808955223880597,-0.7065907409637517,0.0,0.6501029796648893,0.10407461953853707,-0.2702702702702703,0.24324324324324326,1.2794117647058822,1.0,0.0,-1.0,0.5,0.0,0.6451333992094862,1.0,0.0,1.0,1.0,12.08954444723597
1.0,1.0,0.5017725661303518,1.2344534569331789,,1.0,0.0,0.0,0.6,-0.5869565217391305,0.5434782608695652,0.0,-0.5277777777777778,1.0,-0.2484472049689441,0.0,1.0,0.25,0.25,1.0,0.5,0.4883720930232558,0.2975124378109453,-0.2219507859227784,0.0,0.8265084946981212,0.15316642120765833,-0.16216216216216217,0.10810810810810811,1.4411764705882353,1.0,-0.5,-1.0,2.0,1.0,0.6451333992094862,1.5082417582417582,0.0,0.0,1.0,12.460718739865236
